CPT Code,Description
2024,CPT Code Quick Reference Guide
2,"OR MORE REGIONS (EG, LUMBAR/THORACIC, THORACIC/CERVICAL, LUMBAR/CERVICAL)"
36005,"(x 2 if bilateral) , 75820, 75822"
74018,PER DAY
78800,"A9569 (WBC), A9556 *"
78801,"A9569 (WBC), A9556 *"
78803,"A9560, A9572, A9569 (WBC), A9500, A9556 *"
20206,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
20220,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
20225,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
32400,"with either 76942 (US ), 77012 (CT), "
77002,(FL ) or 77021 (MR )
38220,"with either 76942 (US ), 77012 (CT ),"
77002,(FL ) or 77021 (MR )
38221,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
38222,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
38505,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
47000,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
48102,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
49180,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
50200,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
55700,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
60100,"with either 76942 (US ), 77012 (CT ), "
77002,(FL ) or 77021 (MR )
10160,"with either 76942 (US ), 77012 (CT ), 77002 (FL ) or 77021 "
50390,"with either 76942 (US ), 77012 (CT ), 77002 (FL ) or 77021 "
60300,"with either 76942 (US ), 77012 (CT ), 77002 (FL ) or 77021 "
10140,"with either 76942 (US ), 77012 (CT ), 77002 (FL ) or 77021 "
