Report Description,CPT Code
mri scan for head injury,70551
knee replacement surgery,27447
ct scan of the abdomen,74176
complete blood count test,85027
Referred for a CT scan of the abdomen and pelvis without contrast based on examination results.,74176
CT scan of the abdomen and pelvis without contrast was recommended to investigate patient's condition.,74176
Patient underwent a CT scan of the abdomen and pelvis without contrast.,74176
A CT scan of the abdomen and pelvis without contrast was carried out due to chronic issues.,74176
Referred for a CT scan of the abdomen and pelvis without contrast based on examination results.,74176
Patient underwent a CT scan of the abdomen and pelvis without contrast.,74176
Performed a CT scan of the abdomen and pelvis without contrast to assess symptoms.,74176
Referred for a CT scan of the abdomen and pelvis without contrast based on examination results.,74176
Surgical knee replacement procedure to treat severe joint damage was recommended to investigate patient's condition.,27447
Performed a Surgical knee replacement procedure to treat severe joint damage to assess symptoms.,27447
Surgical knee replacement procedure to treat severe joint damage was recommended to investigate patient's condition.,27447
Scheduled a Surgical knee replacement procedure to treat severe joint damage for diagnostic evaluation.,27447
Surgical knee replacement procedure to treat severe joint damage was recommended to investigate patient's condition.,27447
Referred for a Surgical knee replacement procedure to treat severe joint damage based on examination results.,27447
Patient underwent a Surgical knee replacement procedure to treat severe joint damage.,27447
Surgical knee replacement procedure to treat severe joint damage was recommended to investigate patient's condition.,27447
"Blood test to measure red and white cells, hemoglobin, and hematocrit was recommended to investigate patient's condition.",85027
"Scheduled a Blood test to measure red and white cells, hemoglobin, and hematocrit for diagnostic evaluation.",85027
"A Blood test to measure red and white cells, hemoglobin, and hematocrit was carried out due to chronic issues.",85027
"Patient underwent a Blood test to measure red and white cells, hemoglobin, and hematocrit.",85027
"Performed a Blood test to measure red and white cells, hemoglobin, and hematocrit to assess symptoms.",85027
"Scheduled a Blood test to measure red and white cells, hemoglobin, and hematocrit for diagnostic evaluation.",85027
"Patient underwent a Blood test to measure red and white cells, hemoglobin, and hematocrit.",85027
"Scheduled a Blood test to measure red and white cells, hemoglobin, and hematocrit for diagnostic evaluation.",85027
